epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
60,-12.074355334125201,-4.259160761756836,-2.8438014065473567,-3.2842192540172044,-0.9843633409970316,-2.0141014193482683,-2.419661777378834
61,-12.252687039263353,-4.318263250923533,-2.8777773069664225,-3.3332750933217743,-0.9976239661388441,-2.0463195690725313,-2.451802741749676
62,-12.43660753475008,-4.377128439890582,-2.9114754375118,-3.3819368278167774,-1.0109358109222417,-2.078161611385111,-2.4836111860978805
63,-12.62771178472347,-4.435764715679559,-2.9449078991039745,-3.4302199488925247,-1.0242968022643273,-2.1096378174452814,-2.5150999503085187
64,-12.806068632200505,-4.494179843443238,-2.978086076287714,-3.478139184669362,-1.0377047062947873,-2.14075901012319,-2.546281347538752
65,-12.982302149846959,-4.552381031038283,-3.011020687446736,-3.5257085111866573,-1.0511571393718333,-2.171536366591394,-2.5771671597173467
66,-13.181874185038204,-4.610374986994579,-3.0437218312373115,-3.5729412043783486,-1.0646515797162626,-2.201981261928554,-2.6077686420945674
67,-13.382587893362615,-4.668167972382864,-3.0761990294587727,-3.619849912959166,-1.0781853795426315,-2.232105144996628,-2.6380965343636316
68,-13.576034994418366,-4.725765847087717,-3.1084612666050924,-3.6664467361266766,-1.0917557775733577,-2.2619194397820648,-2.6681610763829653
69,-13.769822478000156,-4.783174110984728,-3.1405170263498046,-3.712743294530842,-1.1053599118288477,-2.2914354669500336,-2.6979720269543646
70,-13.976578329923608,-4.840397940503051,-3.1723743252127155,-3.7587507875267683,-1.1189948325942072,-2.3206643815780073,-2.727538684464136
71,-14.16682501298305,-4.897442221030183,-3.20404074364562,-3.8044800337840976,-1.1326575154705052,-2.3496171239634442,-2.75686990848153
72,-14.359728202881673,-4.954311575587209,-3.235523454758801,-3.8499414955579176,-1.1463448744257188,-2.378304381097346,-2.7859741416403643
73,-14.51263686100417,-5.011010390171751,-3.2668292508926164,-3.8951452891786746,-1.16005377476725,-2.406736556914507,-2.814859431314175
74,-14.710644890875137,-5.067542836134005,-3.297964568220494,-3.9401011855771984,-1.1737810459641906,-2.434923749817309,-2.84353345074039
75,-14.888261482779972,-5.123912889919431,-3.328935509552068,-3.984818605023234,-1.1875234942532604,-2.4628757362587548,-2.872003519361692
76,-15.068186714428201,-5.180124350480741,-3.359747865488637,-4.0293066099062465,-1.2012779149675472,-2.4906019593891413,-2.900276622238992
77,-15.243565035186233,-5.236180854632048,-3.3904071340678543,-4.073573898563692,-1.2150411045319158,-2.518111521939298,-2.9283594284553356
78,-15.438985853072918,-5.292085890590373,-3.420918539020757,-4.117628802115457,-1.2288098720732303,-2.5454131826458277,-2.9562583084779623
79,-15.626824207103613,-5.347842809923629,-3.451287046751884,-4.161479285218062,-1.242581050597508,-2.5725153556302085,-2.9839793504801873
80,-15.823646240883962,-5.403454838100344,-3.4815173821422976,-4.205132950775598,-1.2563515076898442,-2.599426112230838,-3.011528375648798
81,-15.996239767448404,-5.458925083814074,-3.511614043265641,-4.248597048030731,-1.2701181556965582,-2.6261531848597874,-3.0389109525185924
82,-16.176027875788364,-5.514256547236181,-3.5415813150989046,-4.291878483132086,-1.283877961352588,-2.652703972517446,-3.066132410385556
83,-16.377546626791126,-5.569452127331835,-3.5714232823020926,-4.334983831201155,-1.2976279548208236,-2.67908554765063,-3.093197851855488
84,-16.57608881263775,-5.624514628358572,-3.6011438411344576,-4.377919349035448,-1.3113652381138519,-2.7053046640847085,-3.1201121645869123
85,-16.73794322338653,-5.679446765651864,-3.6307467105691984,-4.420690987805384,-1.3250869928725806,-2.7313677657990927,-3.14688003228676
86,-16.927471595373092,-5.734251170789116,-3.6602354426634243,-4.463304405356828,-1.3387904874804049,-2.7572809963489213,-3.1735059450153997
87,-17.11122542608285,-5.788930396212545,-3.6896134322356677,-4.505764977962976,-1.3524730834960303,-2.7830502087647537,-3.1999942088546445
88,-17.304896647260904,-5.843486919380603,-3.718883925899229,-4.548077811544406,-1.3661322413926815,-2.808680975787109,-3.2263489549887616
89,-17.480692405367318,-5.897923146508903,-3.7480500304959943,-4.590247752481376,-1.3797655255962602,-2.8341786003143405,-3.252574148244692
90,-17.661744989773112,-5.952241415953924,-3.7771147209721345,-4.632279398181608,-1.393370608819919,-2.859548125961035,-3.2786735951337365
91,-17.843900542103817,-6.006444001285156,-3.8060808477341395,-4.674177107554341,-1.406945275697518,-2.884794347640267,-3.3046509514331115
92,-18.045110881606202,-6.060533114086266,-3.8349511435209473,-4.715945011496216,-1.4204874257233588,-2.909921822096979,-3.3305097293421335
93,-18.230411700987748,-6.114510906519383,-3.863728229825465,-4.757587023435858,-1.4339950755104525,-2.9349348783318017,-3.3562533042443663
94,-18.40756549292037,-6.168379473682919,-3.892414622896509,-4.799106849926888,-1.4474663603842435,-2.9598376278650007,-3.3818849211039437
95,-18.58532889766419,-6.22214085578868,-3.9210127393500844,-4.840508001234167,-1.460899535333112,-2.984633974799222,-3.4074077005214467
96,-18.75848060507488,-6.2757970401808665,-3.94952490141698,-4.881793801830157,-1.4742929753410725,-3.0093276256474484,-3.432824644472182
97,-18.932889087979493,-6.329349963216112,-3.9779533418518462,-4.922967400707761,-1.4876451751317774,-3.0339220988992612,-3.4581386417474547
98,-19.128735954648178,-6.3828015120216754,-4.006300208527213,-4.96403178142027,-1.5009547483562105,-3.0584207343042924,-3.483352473117432
99,-19.31038027129819,-6.436153526145634,-4.0345675687343485,-5.004989771773397,-1.514220426259244,-3.0828267018567446,-3.5084688162324666
100,-19.48671898118247,-6.489407799112217,-4.0627574132113535,-5.045844053114217,-1.5274410558625466,-3.107143010469136,-3.533490250278201
101,-19.651236419480348,-6.542566079892201,-4.090871659917523,-5.08659716918268,-1.5406155977031133,-3.1313725163271737,-3.5584192603984515
102,-19.843343729909684,-6.595630074298183,-4.118912157571685,-5.127251534510293,-1.5537431231679935,-3.15551793092083,-3.583258241898724
103,-20.015759557303543,-6.6486014463123135,-4.146880688971038,-5.167809442365665,-1.5668228114665597,-3.179581828749431,-3.6080095042421587
104,-20.18594305881005,-6.701481819353618,-4.174778974105815,-5.208273072257132,-1.5798539462819914,-3.203566654700946,-3.632675274848879
105,-20.393535707143833,-6.754272777490485,-4.202608673084125,-5.248644497009223,-1.5928359121434787,-3.2274747311076113,-3.6572577027088937
106,-20.57880616532485,-6.806975866603194,-4.23037138888019,-5.288925689432611,-1.6057681905601024,-3.2513082644817666,-3.6817588618180594
107,-20.76332757934434,-6.859592595501967,-4.2580686699183925,-5.329118528607841,-1.6186503559563843,-3.2750693519371636,-3.706180754445992
108,-20.929227456511995,-6.912124437002441,-4.28570201250458,-5.369224805802289,-1.6314820714482148,-3.298759987302214,-3.7305253142443124
109,-21.09588392252639,-6.964572828963544,-4.313272863115281,-5.409246230038476,-1.6442630844962816,-3.322382066932606,-3.754794409203091
110,-21.277422324776026,-7.016939175289772,-4.340782620554731,-5.449184433330346,-1.6569932224722743,-3.345937395231518,-3.778989844463002
111,-21.46732993148438,-7.069224846900067,-4.368232637988889,-5.489040975603126,-1.6696723881711082,-3.369427689886277,-3.8031133649902364
112,-21.637784986572903,-7.121431182666022,-4.395624224864922,-5.528817349311592,-1.682300555300193,-3.3928545868308,-3.827166658120923
113,-21.802775831225656,-7.173559490320479,-4.422958648724097,-5.568514983771266,-1.694877763974463,-3.4162196449435,-3.8511513559814685
114,-21.971843689483595,-7.225611047339603,-4.450237136915316,-5.608135249217005,-1.707404116243458,-3.439524350490602,-3.8750690377909054
115,-22.145708956628546,-7.277587101797199,-4.47746087821615,-5.647679460603419,-1.7198797716743326,-3.462770121324951,-3.8989212320510895
116,-22.336224982686435,-7.329488873195661,-4.50463102436756,-5.687148881161582,-1.7323049430121866,-3.48595831085047,-3.9227094186302978
117,-22.51493326703886,-7.3813175532721464,-4.5317486915281755,-5.726544725726312,-1.7446798919367068,-3.5090902117623974,-3.9464350307455276
118,-22.685424511465705,-7.433074306781747,-4.558814961653457,-5.765868163848068,-1.7570049249317117,-3.5321670595734,-3.970099456848573
119,-22.860971627591645,-7.484760272259742,-4.585830883804749,-5.805120322702916,-1.7692803892818925,-3.555190035935491,-3.9937040424207217
120,-23.05620224615633,-7.536376562761023,-4.6127974753928305,-5.844302289813431,-1.7815066692088297,-3.5781602717675574,-4.017250091680675
121,-23.245705806275843,-7.587924266580033,-4.639715723360186,-5.88341511559272,-1.7936841821562464,-3.601078850198054,-4.040738869210123
122,-23.455547389201502,-7.639404447950777,-4.666586585305985,-5.922459815722741,-1.805813375232479,-3.6239468093322222,-4.064171601501172
123,-23.627387527976882,-7.690818147726952,-4.693410990557413,-5.961437373377509,-1.8178947218162822,-3.6467651448528975,-4.087549478429631
124,-23.836931778101835,-7.742166384043622,-4.720189841190709,-6.00034874130086,-1.8299287183303599,-3.6695348124637093,-4.1108736546580085
125,-24.010805126435276,-7.793450152960612,-4.746924013005057,-6.039194843747715,-1.8419158811854315,-3.692256730183171,-4.134145250971826
126,-24.185164216643788,-7.844670429087532,-4.773614356452245,-6.077976578297215,-1.8538567438961897,-3.714931780497839,-4.15736535555276
127,-24.36866580873426,-7.895828166192934,-4.800261697524732,-6.116694817545475,-1.865751854369212,-3.7375608123824335,-4.18053502519188
128,-24.552186610665927,-7.946924297794699,-4.826866838604659,-6.155350410685167,-1.8776017723617109,-3.76014464319445,-4.2036552864461445
129,-24.74318126082425,-7.997959737734897,-4.8534305592760685,-6.193944184978785,-1.8894070671089762,-3.7826840604505088,-4.226727136741129
130,-24.926020971728676,-8.04893538073871,-4.879953617102492,-6.232476947131938,-1.901168315117466,-3.8051798234913394,-4.249751545422817
